,cell,cell_ontology_class,mouse.id
G13_B001190,G13_B001190,B cell,24_58_M
G14_B001190,G14_B001190,macrophage,24_58_M
G15_B001190,G15_B001190,myeloid cell,24_58_M
G16_B001190,G16_B001190,B cell,24_58_M
G19_B001190,G19_B001190,endothelial cell,24_58_M
G9_B001190,G9_B001190,B cell,24_58_M
H10_B001190,H10_B001190,B cell,24_58_M
H11_B001190,H11_B001190,macrophage,24_58_M
H12_B001190,H12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H13_B001190,H13_B001190,B cell,24_58_M
H15_B001190,H15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H16_B001190,H16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
H1_B001190,H1_B001190,mesenchymal stem cell of adipose,24_58_M
H20_B001190,H20_B001190,endothelial cell,24_58_M
H21_B001190,H21_B001190,endothelial cell,24_58_M
H9_B001190,H9_B001190,B cell,24_58_M
I10_B001190,I10_B001190,macrophage,24_58_M
I11_B001190,I11_B001190,"CD4-positive, alpha-beta T cell",24_58_M
I13_B001190,I13_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I15_B001190,I15_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I16_B001190,I16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
I17_B001190,I17_B001190,endothelial cell,24_58_M
I18_B001190,I18_B001190,endothelial cell,24_58_M
I20_B001190,I20_B001190,endothelial cell,24_58_M
I21_B001190,I21_B001190,endothelial cell,24_58_M
I9_B001190,I9_B001190,myeloid cell,24_58_M
J10_B001190,J10_B001190,"CD8-positive, alpha-beta T cell",24_58_M
J11_B001190,J11_B001190,B cell,24_58_M
J12_B001190,J12_B001190,B cell,24_58_M
J13_B001190,J13_B001190,B cell,24_58_M
J14_B001190,J14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
J15_B001190,J15_B001190,myeloid cell,24_58_M
J16_B001190,J16_B001190,B cell,24_58_M
J18_B001190,J18_B001190,endothelial cell,24_58_M
J20_B001190,J20_B001190,endothelial cell,24_58_M
J2_B001190,J2_B001190,mesenchymal stem cell of adipose,24_58_M
J3_B001190,J3_B001190,mesenchymal stem cell of adipose,24_58_M
J6_B001190,J6_B001190,mesenchymal stem cell of adipose,24_58_M
J7_B001190,J7_B001190,mesenchymal stem cell of adipose,24_58_M
J9_B001190,J9_B001190,B cell,24_58_M
K10_B001190,K10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
K11_B001190,K11_B001190,B cell,24_58_M
K12_B001190,K12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K13_B001190,K13_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K14_B001190,K14_B001190,macrophage,24_58_M
K15_B001190,K15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
K16_B001190,K16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
K21_B001190,K21_B001190,mesenchymal stem cell of adipose,24_58_M
K2_B001190,K2_B001190,mesenchymal stem cell of adipose,24_58_M
K9_B001190,K9_B001190,myeloid cell,24_58_M
L10_B001190,L10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
L11_B001190,L11_B001190,B cell,24_58_M
L12_B001190,L12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
L13_B001190,L13_B001190,macrophage,24_58_M
L14_B001190,L14_B001190,"CD8-positive, alpha-beta T cell",24_58_M
L15_B001190,L15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
L17_B001190,L17_B001190,mesenchymal stem cell of adipose,24_58_M
L19_B001190,L19_B001190,endothelial cell,24_58_M
L20_B001190,L20_B001190,endothelial cell,24_58_M
L4_B001190,L4_B001190,mesenchymal stem cell of adipose,24_58_M
L9_B001190,L9_B001190,B cell,24_58_M
M10_B001190,M10_B001190,B cell,24_58_M
M11_B001190,M11_B001190,B cell,24_58_M
M12_B001190,M12_B001190,macrophage,24_58_M
M13_B001190,M13_B001190,B cell,24_58_M
M14_B001190,M14_B001190,myeloid cell,24_58_M
M15_B001190,M15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
M16_B001190,M16_B001190,B cell,24_58_M
M18_B001190,M18_B001190,endothelial cell,24_58_M
M21_B001190,M21_B001190,mesenchymal stem cell of adipose,24_58_M
M3_B001190,M3_B001190,mesenchymal stem cell of adipose,24_58_M
M5_B001190,M5_B001190,endothelial cell,24_58_M
M9_B001190,M9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
N10_B001190,N10_B001190,B cell,24_58_M
N11_B001190,N11_B001190,B cell,24_58_M
N12_B001190,N12_B001190,"CD4-positive, alpha-beta T cell",24_58_M
N13_B001190,N13_B001190,B cell,24_58_M
N14_B001190,N14_B001190,B cell,24_58_M
N16_B001190,N16_B001190,"CD8-positive, alpha-beta T cell",24_58_M
N6_B001190,N6_B001190,mesenchymal stem cell of adipose,24_58_M
N9_B001190,N9_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O10_B001190,O10_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O11_B001190,O11_B001190,B cell,24_58_M
O12_B001190,O12_B001190,B cell,24_58_M
O14_B001190,O14_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O15_B001190,O15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
O16_B001190,O16_B001190,macrophage,24_58_M
O1_B001190,O1_B001190,mesenchymal stem cell of adipose,24_58_M
O22_B001190,O22_B001190,endothelial cell,24_58_M
O4_B001190,O4_B001190,mesenchymal stem cell of adipose,24_58_M
O9_B001190,O9_B001190,B cell,24_58_M
P10_B001190,P10_B001190,macrophage,24_58_M
P11_B001190,P11_B001190,"CD8-positive, alpha-beta T cell",24_58_M
P12_B001190,P12_B001190,"CD8-positive, alpha-beta T cell",24_58_M
P13_B001190,P13_B001190,B cell,24_58_M
P15_B001190,P15_B001190,"CD4-positive, alpha-beta T cell",24_58_M
P16_B001190,P16_B001190,"CD4-positive, alpha-beta T cell",24_58_M
P1_B001190,P1_B001190,mesenchymal stem cell of adipose,24_58_M
P22_B001190,P22_B001190,endothelial cell,24_58_M
P2_B001190,P2_B001190,mesenchymal stem cell of adipose,24_58_M
P6_B001190,P6_B001190,mesenchymal stem cell of adipose,24_58_M
P7_B001190,P7_B001190,mesenchymal stem cell of adipose,24_58_M
P8_B001190,P8_B001190,mesenchymal stem cell of adipose,24_58_M
A1.MAA000531.3_8_M.1.1,A1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
A1.MAA000877.3_11_M.1.1,A1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
A10.B002314.3_56_F.1.1,A10.B002314.3_56_F.1.1,macrophage,3_56_F
A10.D045064.3_38_F.1.1,A10.D045064.3_38_F.1.1,macrophage,3_38_F
A10.MAA000877.3_11_M.1.1,A10.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
A10.MAA000914.3_9_M.1.1,A10.MAA000914.3_9_M.1.1,macrophage,3_9_M
A11.B002314.3_56_F.1.1,A11.B002314.3_56_F.1.1,macrophage,3_56_F
A11.D045064.3_38_F.1.1,A11.D045064.3_38_F.1.1,macrophage,3_38_F
A11.MAA000877.3_11_M.1.1,A11.MAA000877.3_11_M.1.1,B cell,3_11_M
A11.MAA000914.3_9_M.1.1,A11.MAA000914.3_9_M.1.1,"CD8-positive, alpha-beta T cell",3_9_M
A12.MAA000877.3_11_M.1.1,A12.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
A13.B002314.3_56_F.1.1,A13.B002314.3_56_F.1.1,myeloid cell,3_56_F
A13.D043520.3_39_F.1.1,A13.D043520.3_39_F.1.1,myeloid cell,3_39_F
A13.MAA000877.3_11_M.1.1,A13.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
A14.B002314.3_56_F.1.1,A14.B002314.3_56_F.1.1,B cell,3_56_F
A14.D043520.3_39_F.1.1,A14.D043520.3_39_F.1.1,myeloid cell,3_39_F
A14.MAA000877.3_11_M.1.1,A14.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
A15.D043520.3_39_F.1.1,A15.D043520.3_39_F.1.1,macrophage,3_39_F
A15.MAA000877.3_11_M.1.1,A15.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
A16.B002314.3_56_F.1.1,A16.B002314.3_56_F.1.1,B cell,3_56_F
A16.D043520.3_39_F.1.1,A16.D043520.3_39_F.1.1,macrophage,3_39_F
A17.MAA000877.3_11_M.1.1,A17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
A18.D045064.3_38_F.1.1,A18.D045064.3_38_F.1.1,endothelial cell,3_38_F
A19.B002314.3_56_F.1.1,A19.B002314.3_56_F.1.1,endothelial cell,3_56_F
A19.MAA000877.3_11_M.1.1,A19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
A2.MAA000531.3_8_M.1.1,A2.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
A21.MAA000877.3_11_M.1.1,A21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
A22.MAA000877.3_11_M.1.1,A22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
A3.B002314.3_56_F.1.1,A3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
A3.MAA000914.3_9_M.1.1,A3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
A5.B002314.3_56_F.1.1,A5.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
A5.D043520.3_39_F.1.1,A5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
A5.MAA000914.3_9_M.1.1,A5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
A6.MAA000877.3_11_M.1.1,A6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
A8.B002314.3_56_F.1.1,A8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
A9.B002314.3_56_F.1.1,A9.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
A9.D045064.3_38_F.1.1,A9.D045064.3_38_F.1.1,macrophage,3_38_F
B1.MAA000877.3_11_M.1.1,B1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
B10.B002314.3_56_F.1.1,B10.B002314.3_56_F.1.1,B cell,3_56_F
B10.D045064.3_38_F.1.1,B10.D045064.3_38_F.1.1,myeloid cell,3_38_F
B10.MAA000877.3_11_M.1.1,B10.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
B10.MAA000914.3_9_M.1.1,B10.MAA000914.3_9_M.1.1,B cell,3_9_M
B11.B002314.3_56_F.1.1,B11.B002314.3_56_F.1.1,macrophage,3_56_F
B11.D043520.3_39_F.1.1,B11.D043520.3_39_F.1.1,macrophage,3_39_F
B11.MAA000877.3_11_M.1.1,B11.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
B11.MAA000914.3_9_M.1.1,B11.MAA000914.3_9_M.1.1,macrophage,3_9_M
B12.B002314.3_56_F.1.1,B12.B002314.3_56_F.1.1,macrophage,3_56_F
B12.D043520.3_39_F.1.1,B12.D043520.3_39_F.1.1,macrophage,3_39_F
B12.D045064.3_38_F.1.1,B12.D045064.3_38_F.1.1,myeloid cell,3_38_F
B12.MAA000914.3_9_M.1.1,B12.MAA000914.3_9_M.1.1,B cell,3_9_M
B13.B002314.3_56_F.1.1,B13.B002314.3_56_F.1.1,macrophage,3_56_F
B13.MAA000877.3_11_M.1.1,B13.MAA000877.3_11_M.1.1,B cell,3_11_M
B13.MAA000914.3_9_M.1.1,B13.MAA000914.3_9_M.1.1,"CD8-positive, alpha-beta T cell",3_9_M
B14.B002314.3_56_F.1.1,B14.B002314.3_56_F.1.1,macrophage,3_56_F
B14.MAA000877.3_11_M.1.1,B14.MAA000877.3_11_M.1.1,B cell,3_11_M
B15.B002314.3_56_F.1.1,B15.B002314.3_56_F.1.1,macrophage,3_56_F
B15.D045064.3_38_F.1.1,B15.D045064.3_38_F.1.1,macrophage,3_38_F
B15.MAA000531.3_8_M.1.1,B15.MAA000531.3_8_M.1.1,B cell,3_8_M
B15.MAA000914.3_9_M.1.1,B15.MAA000914.3_9_M.1.1,B cell,3_9_M
B16.B002314.3_56_F.1.1,B16.B002314.3_56_F.1.1,macrophage,3_56_F
B17.D045064.3_38_F.1.1,B17.D045064.3_38_F.1.1,endothelial cell,3_38_F
B17.MAA000877.3_11_M.1.1,B17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
B18.MAA000914.3_9_M.1.1,B18.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
B19.D043520.3_39_F.1.1,B19.D043520.3_39_F.1.1,endothelial cell,3_39_F
B19.D045064.3_38_F.1.1,B19.D045064.3_38_F.1.1,endothelial cell,3_38_F
B22.MAA000877.3_11_M.1.1,B22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
B22.MAA000914.3_9_M.1.1,B22.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
B3.D045064.3_38_F.1.1,B3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
B3.MAA000531.3_8_M.1.1,B3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
B3.MAA000914.3_9_M.1.1,B3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
B4.MAA000531.3_8_M.1.1,B4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
B5.D043520.3_39_F.1.1,B5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
B6.MAA000914.3_9_M.1.1,B6.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
B7.B002314.3_56_F.1.1,B7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
B9.B002314.3_56_F.1.1,B9.B002314.3_56_F.1.1,macrophage,3_56_F
B9.D045064.3_38_F.1.1,B9.D045064.3_38_F.1.1,macrophage,3_38_F
B9.MAA000877.3_11_M.1.1,B9.MAA000877.3_11_M.1.1,B cell,3_11_M
C1.MAA000914.3_9_M.1.1,C1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
C10.D045064.3_38_F.1.1,C10.D045064.3_38_F.1.1,myeloid cell,3_38_F
C10.MAA000877.3_11_M.1.1,C10.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
C10.MAA000914.3_9_M.1.1,C10.MAA000914.3_9_M.1.1,macrophage,3_9_M
C11.B002314.3_56_F.1.1,C11.B002314.3_56_F.1.1,myeloid cell,3_56_F
C11.D045064.3_38_F.1.1,C11.D045064.3_38_F.1.1,B cell,3_38_F
C12.B002314.3_56_F.1.1,C12.B002314.3_56_F.1.1,macrophage,3_56_F
C13.B002314.3_56_F.1.1,C13.B002314.3_56_F.1.1,myeloid cell,3_56_F
C13.D043520.3_39_F.1.1,C13.D043520.3_39_F.1.1,macrophage,3_39_F
C13.D045064.3_38_F.1.1,C13.D045064.3_38_F.1.1,B cell,3_38_F
C13.MAA000877.3_11_M.1.1,C13.MAA000877.3_11_M.1.1,B cell,3_11_M
C13.MAA000914.3_9_M.1.1,C13.MAA000914.3_9_M.1.1,macrophage,3_9_M
C14.D043520.3_39_F.1.1,C14.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
C14.MAA000877.3_11_M.1.1,C14.MAA000877.3_11_M.1.1,B cell,3_11_M
C14.MAA000914.3_9_M.1.1,C14.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
C16.B002314.3_56_F.1.1,C16.B002314.3_56_F.1.1,macrophage,3_56_F
C16.D043520.3_39_F.1.1,C16.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
C16.D045064.3_38_F.1.1,C16.D045064.3_38_F.1.1,B cell,3_38_F
C16.MAA000914.3_9_M.1.1,C16.MAA000914.3_9_M.1.1,B cell,3_9_M
C17.D043520.3_39_F.1.1,C17.D043520.3_39_F.1.1,endothelial cell,3_39_F
C17.MAA000531.3_8_M.1.1,C17.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
C17.MAA000914.3_9_M.1.1,C17.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
C18.D045064.3_38_F.1.1,C18.D045064.3_38_F.1.1,endothelial cell,3_38_F
C18.MAA000877.3_11_M.1.1,C18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
C19.B002314.3_56_F.1.1,C19.B002314.3_56_F.1.1,endothelial cell,3_56_F
C2.D043520.3_39_F.1.1,C2.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
C20.D045064.3_38_F.1.1,C20.D045064.3_38_F.1.1,endothelial cell,3_38_F
C21.MAA000877.3_11_M.1.1,C21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
C3.MAA000914.3_9_M.1.1,C3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
C4.D043520.3_39_F.1.1,C4.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
C4.MAA000877.3_11_M.1.1,C4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
C4.MAA000914.3_9_M.1.1,C4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
C5.MAA000914.3_9_M.1.1,C5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
C7.B002314.3_56_F.1.1,C7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
C8.B002314.3_56_F.1.1,C8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
C9.D045064.3_38_F.1.1,C9.D045064.3_38_F.1.1,B cell,3_38_F
C9.MAA000877.3_11_M.1.1,C9.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
C9.MAA000914.3_9_M.1.1,C9.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
D1.MAA000877.3_11_M.1.1,D1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
D10.B002314.3_56_F.1.1,D10.B002314.3_56_F.1.1,myeloid cell,3_56_F
D10.D043520.3_39_F.1.1,D10.D043520.3_39_F.1.1,B cell,3_39_F
D10.D045064.3_38_F.1.1,D10.D045064.3_38_F.1.1,myeloid cell,3_38_F
D10.MAA000877.3_11_M.1.1,D10.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
D10.MAA000914.3_9_M.1.1,D10.MAA000914.3_9_M.1.1,B cell,3_9_M
D11.B002314.3_56_F.1.1,D11.B002314.3_56_F.1.1,macrophage,3_56_F
D12.B002314.3_56_F.1.1,D12.B002314.3_56_F.1.1,macrophage,3_56_F
D12.MAA000914.3_9_M.1.1,D12.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
D13.MAA000877.3_11_M.1.1,D13.MAA000877.3_11_M.1.1,B cell,3_11_M
D14.B002314.3_56_F.1.1,D14.B002314.3_56_F.1.1,macrophage,3_56_F
D14.D043520.3_39_F.1.1,D14.D043520.3_39_F.1.1,myeloid cell,3_39_F
D14.MAA000531.3_8_M.1.1,D14.MAA000531.3_8_M.1.1,macrophage,3_8_M
D14.MAA000877.3_11_M.1.1,D14.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
D15.B002314.3_56_F.1.1,D15.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
D15.D045064.3_38_F.1.1,D15.D045064.3_38_F.1.1,B cell,3_38_F
D16.B002314.3_56_F.1.1,D16.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
D16.D043520.3_39_F.1.1,D16.D043520.3_39_F.1.1,myeloid cell,3_39_F
D17.MAA000877.3_11_M.1.1,D17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
D17.MAA000914.3_9_M.1.1,D17.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
D18.MAA000531.3_8_M.1.1,D18.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
D2.MAA000877.3_11_M.1.1,D2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
D2.MAA000914.3_9_M.1.1,D2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
D20.MAA000914.3_9_M.1.1,D20.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
D22.MAA000877.3_11_M.1.1,D22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
D3.MAA000914.3_9_M.1.1,D3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
D4.B002314.3_56_F.1.1,D4.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
D4.MAA000531.3_8_M.1.1,D4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
D5.MAA000531.3_8_M.1.1,D5.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
D5.MAA000877.3_11_M.1.1,D5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
D6.D045064.3_38_F.1.1,D6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
D6.MAA000877.3_11_M.1.1,D6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
D7.B002314.3_56_F.1.1,D7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
D7.MAA000914.3_9_M.1.1,D7.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
D9.D043520.3_39_F.1.1,D9.D043520.3_39_F.1.1,macrophage,3_39_F
D9.MAA000877.3_11_M.1.1,D9.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
E1.MAA000531.3_8_M.1.1,E1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
E10.B002314.3_56_F.1.1,E10.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
E10.MAA000877.3_11_M.1.1,E10.MAA000877.3_11_M.1.1,B cell,3_11_M
E11.B002314.3_56_F.1.1,E11.B002314.3_56_F.1.1,macrophage,3_56_F
E11.D045064.3_38_F.1.1,E11.D045064.3_38_F.1.1,myeloid cell,3_38_F
E11.MAA000877.3_11_M.1.1,E11.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
E11.MAA000914.3_9_M.1.1,E11.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
E12.D043520.3_39_F.1.1,E12.D043520.3_39_F.1.1,macrophage,3_39_F
E12.D045064.3_38_F.1.1,E12.D045064.3_38_F.1.1,myeloid cell,3_38_F
E12.MAA000877.3_11_M.1.1,E12.MAA000877.3_11_M.1.1,B cell,3_11_M
E13.D043520.3_39_F.1.1,E13.D043520.3_39_F.1.1,macrophage,3_39_F
E13.MAA000877.3_11_M.1.1,E13.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
E13.MAA000914.3_9_M.1.1,E13.MAA000914.3_9_M.1.1,B cell,3_9_M
E14.B002314.3_56_F.1.1,E14.B002314.3_56_F.1.1,macrophage,3_56_F
E14.D045064.3_38_F.1.1,E14.D045064.3_38_F.1.1,myeloid cell,3_38_F
E14.MAA000877.3_11_M.1.1,E14.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
E15.B002314.3_56_F.1.1,E15.B002314.3_56_F.1.1,B cell,3_56_F
E15.D043520.3_39_F.1.1,E15.D043520.3_39_F.1.1,myeloid cell,3_39_F
E15.MAA000877.3_11_M.1.1,E15.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
E16.B002314.3_56_F.1.1,E16.B002314.3_56_F.1.1,macrophage,3_56_F
E16.MAA000877.3_11_M.1.1,E16.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
E17.B002314.3_56_F.1.1,E17.B002314.3_56_F.1.1,endothelial cell,3_56_F
E17.D045064.3_38_F.1.1,E17.D045064.3_38_F.1.1,endothelial cell,3_38_F
E18.B002314.3_56_F.1.1,E18.B002314.3_56_F.1.1,endothelial cell,3_56_F
E19.MAA000877.3_11_M.1.1,E19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
E19.MAA000914.3_9_M.1.1,E19.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
E2.MAA000877.3_11_M.1.1,E2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
E20.MAA000877.3_11_M.1.1,E20.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
E20.MAA000914.3_9_M.1.1,E20.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
E22.B002314.3_56_F.1.1,E22.B002314.3_56_F.1.1,endothelial cell,3_56_F
E22.MAA000531.3_8_M.1.1,E22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
E22.MAA000877.3_11_M.1.1,E22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
E3.D045064.3_38_F.1.1,E3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
E3.MAA000914.3_9_M.1.1,E3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
E4.MAA000531.3_8_M.1.1,E4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
E4.MAA000877.3_11_M.1.1,E4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
E4.MAA000914.3_9_M.1.1,E4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
E5.MAA000914.3_9_M.1.1,E5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
E6.B002314.3_56_F.1.1,E6.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
E6.D043520.3_39_F.1.1,E6.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
E7.D043520.3_39_F.1.1,E7.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
E9.B002314.3_56_F.1.1,E9.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
E9.D043520.3_39_F.1.1,E9.D043520.3_39_F.1.1,macrophage,3_39_F
E9.D045064.3_38_F.1.1,E9.D045064.3_38_F.1.1,B cell,3_38_F
E9.MAA000877.3_11_M.1.1,E9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
F10.B002314.3_56_F.1.1,F10.B002314.3_56_F.1.1,macrophage,3_56_F
F10.D045064.3_38_F.1.1,F10.D045064.3_38_F.1.1,B cell,3_38_F
F10.MAA000877.3_11_M.1.1,F10.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
F10.MAA000914.3_9_M.1.1,F10.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
F11.B002314.3_56_F.1.1,F11.B002314.3_56_F.1.1,macrophage,3_56_F
F11.MAA000877.3_11_M.1.1,F11.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
F11.MAA000914.3_9_M.1.1,F11.MAA000914.3_9_M.1.1,B cell,3_9_M
F12.D045064.3_38_F.1.1,F12.D045064.3_38_F.1.1,B cell,3_38_F
F12.MAA000877.3_11_M.1.1,F12.MAA000877.3_11_M.1.1,macrophage,3_11_M
F13.B002314.3_56_F.1.1,F13.B002314.3_56_F.1.1,B cell,3_56_F
F13.D043520.3_39_F.1.1,F13.D043520.3_39_F.1.1,B cell,3_39_F
F13.D045064.3_38_F.1.1,F13.D045064.3_38_F.1.1,B cell,3_38_F
F13.MAA000877.3_11_M.1.1,F13.MAA000877.3_11_M.1.1,B cell,3_11_M
